Year,Geo Code,Jurisdictions,Zipcode,Tot_Sales,MedianValue,MeanValue,Sales_insidePFA,MedVal_inPFA,MeanValue_inPFA,Sales_OutPFA,MedVal_OutPFA,MeanVal_OutPFA,Zip Code (Geocoded)
2012,,Anne Arundel,20779,8,$409975.00,$521119.00,,,,8,$409975.00,$521119.00,"Maryland 20779
(38.76377730600046, -76.56915673999964)"
2012,,Baltimore,21111,34,$460000.00,$481884.00,,,,34,$460000.00,$481884.00,"Maryland 21111
(39.57051882200045, -76.59309771999966)"
2012,,Somerset,21817,15,$98500.00,$125587.00,14,$98500.00,$113200.00,1,$999.00,$999.00,"Maryland 21817
(37.98909758500048, -75.84103809899966)"
2012,,Montgomery,20904,325,$335000.00,$335585.00,319,$335000.00,$334333.00,6,$400000.00,$402167.00,"Maryland 20904
(39.066428664000455, -76.97205606499966)"
2012,,Dorchester,21669,1,$999.00,$999.00,,,,1,$999.00,$999.00,"Maryland 21669
(38.46954656800045, -76.29674661999968)"
2012,,Talbot,21612,7,$652750.00,$613929.00,2,$999.00,$999.00,5,$652750.00,$636500.00,"Maryland 21612
(38.75734669800045, -76.28637943699965)"
2012,,Baltimore City,21215,183,$63950.00,$99702.00,183,$63950.00,$99702.00,,,,"Maryland 21215
(39.34604714800048, -76.68329568999962)"
2012,,Charles,20622,17,$346000.00,$323063.00,,,,17,$346000.00,$323063.00,"Maryland 20622
(38.469585674000484, -76.82696764099967)"
2012,,Harford,21132,15,$405000.00,$401315.00,,,,15,$405000.00,$401315.00,"Maryland 21132
(39.697258287000466, -76.42687953499967)"
2012,,Washington,21722,18,$207500.00,$190717.00,3,$999.00,$999.00,15,$207500.00,$199327.00,"Maryland 21722
(39.66602638800049, -77.91088574799966)"
2012,,Carroll,21048,67,$329950.00,$367974.00,3,$999.00,$999.00,64,$335725.00,$373895.00,"Maryland 21048
(39.50509607400045, -76.91115646799966)"
2012,,Anne Arundel,21077,2,$999.00,$999.00,2,$999.00,$999.00,,,,"Maryland 21077
(39.15739569900046, -76.69979802099965)"
2012,,Garrett,21520,9,$161250.00,$257411.00,1,$999.00,$999.00,8,$165000.00,$275912.00,"Maryland 21520
(39.62570908200047, -79.30861753299968)"
2012,,Prince George's,20772,430,$239950.00,$286114.00,326,$205000.00,$237767.00,104,$425810.00,$437663.00,"Maryland 20772
(38.79319733800048, -76.78653736499967)"
2012,,Anne Arundel,21409,251,$360000.00,$440038.00,208,$336750.00,$379466.00,43,$652500.00,$733042.00,"Maryland 21409
(39.027275819000465, -76.45413575499964)"
2012,,Charles,20612,2,$999.00,$999.00,2,$999.00,$999.00,,,,"Maryland 20612
(38.51181912700048, -76.67887681899964)"
2012,,Garrett,21550,118,$225250.00,$317475.00,48,$137750.00,$215442.00,70,$297500.00,$387440.00,"Maryland 21550
(39.41700977800048, -79.38600642499966)"
2012,,Montgomery,20912,201,$385000.00,$395239.00,201,$385000.00,$395239.00,,,,"Maryland 20912
(38.98287855400048, -77.00160644699963)"
2012,,Prince George's,20707,270,$198500.00,$218125.00,270,$198500.00,$218125.00,,,,"Maryland 20707
(39.09811678900047, -76.86857975899966)"
2012,,Prince George's,20712,23,$200375.00,$202435.00,23,$200375.00,$202435.00,,,,"Maryland 20712
(38.9434867330005, -76.96594698699965)"
2012,,Harford,21040,86,$138900.00,$144008.00,86,$138900.00,$144008.00,,,,"Maryland 21040
(39.43067916500047, -76.30299908299963)"
2012,,Cecil,21919,23,$206500.00,$226413.00,12,$160000.00,$158375.00,11,$275000.00,$300636.00,"Maryland 21919
(39.437118463000445, -75.94713878699963)"
2012,,Baltimore,21229,47,$167000.00,$169203.00,47,$167000.00,$169203.00,,,,"Maryland 21229
(39.284156890000475, -76.69356728299965)"
2012,,Frederick,21783,2,$999.00,$999.00,,,,2,$999.00,$999.00,"Maryland 21783
(39.64937632600049, -77.56873828999966)"
2012,,Montgomery,20872,98,$287500.00,$322923.00,62,$255000.00,$273254.00,36,$352450.00,$408466.00,"Maryland 20872
(39.28241888800045, -77.21145717799965)"
2012,,Washington,21750,10,$115000.00,$122350.00,5,$93250.00,$108700.00,5,$115000.00,$136000.00,"Maryland 21750
(39.699695836000444, -78.18412576399965)"
2012,,Worcester,21811,356,$212250.00,$242221.00,267,$212250.00,$242897.00,89,$207450.00,$240196.00,"Maryland 21811
(38.33930937400049, -75.18817929699964)"
2012,,Washington,21758,10,$192500.00,$286000.00,2,$999.00,$999.00,8,$282500.00,$320000.00,"Maryland 21758
(39.341676073000485, -77.65756758299966)"
2012,,Anne Arundel,21146,337,$449250.00,$483731.00,325,$447250.00,$477017.00,12,$656250.00,$665581.00,"Maryland 21146
(39.08100615800049, -76.55652580899965)"
2012,,Dorchester,21622,5,$437500.00,$477800.00,3,$999.00,$999.00,2,$999.00,$999.00,"Maryland 21622
(38.39495585900045, -76.19157576199967)"
2012,,Prince George's,20769,48,$285000.00,$322405.00,38,$252450.00,$280043.00,10,$485000.00,$483379.00,"Maryland 20769
(38.98073646600045, -76.80882724399964)"
2012,,Harford,21034,17,$219000.00,$257482.00,6,$196750.00,$196083.00,11,$267450.00,$290973.00,"Maryland 21034
(39.64994986700049, -76.22854741399965)"
2012,,Charles,20664,19,$247350.00,$241584.00,14,$232050.00,$230686.00,5,$267500.00,$272100.00,"Maryland 20664
(38.33941799800044, -76.92468681499963)"
2012,,Baltimore,21208,326,$190000.00,$238673.00,317,$188700.00,$230672.00,9,$390000.00,$520500.00,"Maryland 21208
(39.37660991700045, -76.72958737799968)"
2012,,Baltimore City,21206,104,$139950.00,$148488.00,104,$139950.00,$148488.00,,,,"Maryland 21206
(39.33572776000045, -76.54174844599964)"
2012,,Baltimore City,21218,244,$136450.00,$182812.00,244,$136450.00,$182812.00,,,,"Maryland 21218
(39.32599929200046, -76.60991723699965)"
2012,,Anne Arundel,21056,1,$999.00,$999.00,,,,1,$999.00,$999.00,"Maryland 21056
(39.07393683300046, -76.42838725199965)"
2012,,Howard,21163,80,$418450.00,$454813.00,71,$412500.00,$427384.00,9,$645750.00,$671203.00,"Maryland 21163
(39.326959539000484, -76.86789759299967)"
2012,,Baltimore City,21201,28,$169750.00,$183684.00,28,$169750.00,$183684.00,,,,"Maryland 21201
(39.29402874200048, -76.61980646899963)"
2012,,Cecil,21915,34,$212500.00,$231551.00,13,$220000.00,$227462.00,21,$179875.00,$234083.00,"Maryland 21915
(39.501989395000464, -75.84784672199964)"
2012,,Queen Anne's,21617,114,$301000.00,$318374.00,59,$297908.00,$281419.00,55,$323300.00,$358018.00,"Maryland 21617
(39.049126852000484, -76.05266593699963)"
2012,,Dorchester,21643,13,$162500.00,$163577.00,6,$92500.00,$97417.00,7,$165250.00,$220286.00,"Maryland 21643
(38.64309912400046, -75.86584807999964)"
2012,,Wicomico,21822,11,$160000.00,$191924.00,2,$999.00,$999.00,9,$160000.00,$194684.00,"Maryland 21822
(38.28311976200047, -75.66054656999967)"
2012,,Somerset,21871,6,$158500.00,$184317.00,1,$999.00,$999.00,5,$158500.00,$205600.00,"Maryland 21871
(38.09907836400049, -75.71721847599963)"
2012,,Anne Arundel,21405,9,$582500.00,$592333.00,,,,9,$582500.00,$592333.00,"Maryland 21405
(39.02767990500047, -76.54173975599963)"
2012,,Baltimore City,21217,136,$65000.00,$130336.00,136,$65000.00,$130336.00,,,,"Maryland 21217
(39.30725928400045, -76.63555711399965)"
2012,,Anne Arundel,20758,4,$999.00,$999.00,,,,4,$999.00,$999.00,"Maryland 20758
(38.73473963400045, -76.59113812299967)"
2012,,Harford,21014,418,$285000.00,$300262.00,416,$285000.00,$300335.00,2,$999.00,$999.00,"Maryland 21014
(39.536175899000455, -76.34920821599962)"
2012,,Dorchester,21632,2,$999.00,$999.00,,,,2,$999.00,$999.00,"Maryland 21632
(38.715369600000486, -75.77479848899964)"
2012,,Wicomico,21840,3,$999.00,$999.00,1,$999.00,$999.00,2,$999.00,$999.00,"Maryland 21840
(38.26904628900047, -75.90345844699965)"
2012,,Queen Anne's,21620,21,$179500.00,$207852.00,,,,21,$179500.00,$207852.00,"Maryland 21620
(39.21576650300045, -76.09079770499966)"
2012,,Anne Arundel,21035,56,$612500.00,$597588.00,,,,56,$612500.00,$597588.00,"Maryland 21035
(38.93545716400047, -76.63308915099964)"
2012,,Somerset,21851,4,$999.00,$999.00,,,,4,$999.00,$999.00,"Maryland 21851
(38.06797681500046, -75.55243848799967)"
2012,,Queen Anne's,21638,44,$342500.00,$382855.00,44,$342500.00,$382855.00,,,,"Maryland 21638
(38.95452739300049, -76.20320734199964)"
2012,,Carroll,21102,84,$300432.00,$293462.00,68,$299495.00,$288418.00,16,$316250.00,$314900.00,"Maryland 21102
(39.68273727900049, -76.86717632199964)"
2012,,Carroll,21797,18,$307900.00,$357683.00,3,$999.00,$999.00,15,$324750.00,$377167.00,"Maryland 21797
(39.346698899000444, -77.06561706899964)"
2012,,St. Mary's,20609,3,$999.00,$999.00,,,,3,$999.00,$999.00,"Maryland 20609
(38.269619830000465, -76.74918769799967)"
2012,,Washington,21756,13,$236822.00,$259811.00,5,$209250.00,$224900.00,8,$270072.00,$281631.00,"Maryland 21756
(39.455098096000484, -77.70084818199967)"
2012,,Dorchester,21631,9,$135000.00,$182489.00,3,$999.00,$999.00,6,$185000.00,$211650.00,"Maryland 21631
(38.592149589000485, -75.94513573999967)"
2012,,Baltimore City,21225,100,$26000.00,$40033.00,100,$26000.00,$40033.00,,,,"Maryland 21225
(39.23243828900047, -76.61607845399965)"
2012,,Montgomery,20874,630,$235000.00,$267019.00,598,$230000.00,$245020.00,32,$682500.00,$678118.00,"Maryland 20874
(39.16591625500047, -77.27465962799965)"
2012,,St. Mary's,20619,186,$268000.00,$283397.00,179,$268000.00,$283715.00,7,$252500.00,$275271.00,"Maryland 20619
(38.3000261790005, -76.52667996599968)"
2012,,Garrett,21538,2,$999.00,$999.00,2,$999.00,$999.00,,,,"Maryland 21538
(39.40398779600048, -79.20952968199964)"
2012,,Charles,20693,7,$237450.00,$268730.00,,,,7,$237450.00,$268730.00,"Maryland 20693
(38.48061764300047, -77.09118742599964)"
2012,,Allegany,21502,175,$98242.00,$111950.00,172,$97250.00,$109135.00,3,$999.00,$999.00,"Maryland 21502
(39.6476079090005, -78.77302608499963)"
2012,,Worcester,21841,7,$182250.00,$212000.00,3,$999.00,$999.00,4,$999.00,$999.00,"Maryland 21841
(38.24778617800047, -75.29054762699963)"
2012,,Howard,21794,18,$743500.00,$733426.00,,,,18,$743500.00,$733426.00,"Maryland 21794
(39.28611648700047, -76.97204737499965)"
2012,,Garrett,21539,2,$999.00,$999.00,,,,2,$999.00,$999.00,"Maryland 21539
(39.59231771500049, -79.01060663999965)"
2012,,St. Mary's,20687,2,$999.00,$999.00,,,,2,$999.00,$999.00,"Maryland 20687
(38.085587123000494, -76.34411586999965)"
2012,,Baltimore City,21224,777,$168500.00,$192567.00,777,$168500.00,$192567.00,,,,"Maryland 21224
(39.28492595600045, -76.55678650999965)"
2012,,Queen Anne's,21651,8,$190000.00,$233431.00,,,,8,$190000.00,$233431.00,"Maryland 21651
(39.250848078000445, -75.86224606999963)"
2012,,Montgomery,20861,22,$542500.00,$549995.00,3,$999.00,$999.00,19,$577500.00,$573732.00,"Maryland 20861
(39.15004829500049, -77.00240592799963)"
2012,,Prince George's,20748,197,$167500.00,$168328.00,197,$167500.00,$168328.00,,,,"Maryland 20748
(38.8172686690005, -76.94323998899966)"
2012,,Harford,21085,128,$233055.00,$241162.00,114,$230500.00,$240619.00,14,$265500.00,$245586.00,"Maryland 21085
(39.432677868000496, -76.35668597099965)"
2012,,Montgomery,20862,3,$999.00,$999.00,,,,3,$999.00,$999.00,"Maryland 20862
(39.182105745000456, -77.02028997099967)"
2012,,Baltimore City,21214,78,$174950.00,$172669.00,78,$174950.00,$172669.00,,,,"Maryland 21214
(39.35212581100046, -76.56332574299967)"
2012,,Charles,20662,13,$244825.00,$240319.00,,,,13,$244825.00,$240319.00,"Maryland 20662
(38.442385939000474, -77.19568915299965)"
2012,,Anne Arundel,20794,12,$313750.00,$357227.00,3,$999.00,$999.00,9,$330000.00,$409414.00,"Maryland 20794
(39.149748489000444, -76.79215980199967)"
2012,,Charles,20675,13,$334950.00,$304072.00,,,,13,$334950.00,$304072.00,"Maryland 20675
(38.58471962900046, -77.01411571799963)"
2012,,St. Mary's,20653,200,$260000.00,$263207.00,179,$257250.00,$258073.00,21,$288950.00,$306961.00,"Maryland 20653
(38.25263954900049, -76.45351876399963)"
2012,,Charles,20617,8,$388200.00,$381971.00,,,,8,$388200.00,$381971.00,"Maryland 20617
(38.54331607200049, -76.84092814399963)"
2012,,Talbot,21654,33,$420000.00,$613576.00,29,$367000.00,$543207.00,4,$999.00,$999.00,"Maryland 21654
(38.68610598800046, -76.14182979399965)"
2012,,Anne Arundel,20711,25,$395000.00,$411976.00,,,,25,$395000.00,$411976.00,"Maryland 20711
(38.80348631100048, -76.65940684899965)"
2012,,Frederick,21791,12,$253000.00,$250167.00,5,$142500.00,$189800.00,7,$253000.00,$293286.00,"Maryland 21791
(39.55165715300046, -77.18372735299965)"
2012,,Baltimore City,21227,1,$999.00,$999.00,1,$999.00,$999.00,,,,"Maryland 21227
(39.24421759900048, -76.67522701499968)"
2012,,Montgomery,20878,702,$452958.00,$469208.00,658,$430000.00,$449776.00,44,$735000.00,$759803.00,"Maryland 20878
(39.11831672000045, -77.23415983199965)"
2012,,Montgomery,20905,158,$399750.00,$415675.00,92,$405000.00,$398407.00,66,$391000.00,$439747.00,"Maryland 20905
(39.10561626800046, -76.99070917399968)"
2012,,Queen Anne's,21666,111,$324000.00,$379560.00,63,$295000.00,$318779.00,48,$346500.00,$459335.00,"Maryland 21666
(38.937017021000486, -76.33129810399964)"
2012,,Howard,21042,439,$510500.00,$548810.00,344,$478750.00,$480324.00,95,$763508.00,$796804.00,"Maryland 21042
(39.2736376310005, -76.86367859299963)"
2012,,Carroll,21158,133,$255000.00,$265755.00,84,$203700.00,$245716.00,49,$291250.00,$300108.00,"Maryland 21158
(39.629806422000456, -77.03027913899967)"
2012,,Anne Arundel,21061,377,$217695.00,$209985.00,377,$217695.00,$209985.00,,,,"Maryland 21061
(39.15703940800046, -76.62936982599967)"
2012,,Baltimore,21161,25,$261500.00,$286366.00,,,,25,$261500.00,$286366.00,"Maryland 21161
(39.659056999000484, -76.57396666099964)"
2012,,Wicomico,21826,43,$140000.00,$158124.00,43,$140000.00,$158124.00,,,,"Maryland 21826
(38.322659313000486, -75.61995987399968)"
2012,,Montgomery,20895,252,$492500.00,$538065.00,252,$492500.00,$538065.00,,,,"Maryland 20895
(39.02866622200048, -77.07759624899967)"
2012,,Prince George's,20912,7,$199950.00,$187714.00,7,$199950.00,$187714.00,,,,"Maryland 20912
(38.98287855400048, -77.00160644699963)"
2012,,Caroline,21629,32,$180450.00,$194207.00,19,$150000.00,$158532.00,13,$234000.00,$246346.00,"Maryland 21629
(38.86955646500047, -75.82983667399964)"
2012,,Prince George's,20782,114,$206500.00,$242283.00,114,$206500.00,$242283.00,,,,"Maryland 20782
(38.963347754000495, -76.96464783099964)"
2012,,Kent,21620,51,$303000.00,$341427.00,29,$254950.00,$309691.00,22,$343000.00,$383260.00,"Maryland 21620
(39.21576650300045, -76.09079770499966)"
2012,,Kent,21661,18,$190000.00,$233661.00,14,$195000.00,$208993.00,4,$999.00,$999.00,"Maryland 21661
(39.13473649600047, -76.22799994299965)"
2012,,Anne Arundel,20754,11,$418500.00,$442573.00,,,,11,$418500.00,$442573.00,"Maryland 20754
(38.7365080510005, -76.65571793999965)"
2012,,Baltimore City,21211,168,$160000.00,$153602.00,168,$160000.00,$153602.00,,,,"Maryland 21211
(39.33217789000048, -76.63535724299965)"
2012,,Calvert,20678,96,$328667.00,$345437.00,32,$280108.00,$296879.00,64,$377088.00,$369715.00,"Maryland 20678
(38.53302709900049, -76.59167690399966)"
2012,,Talbot,21657,2,$999.00,$999.00,,,,2,$999.00,$999.00,"Maryland 21657
(38.95294581000047, -75.97842717199967)"
2012,,St. Mary's,20622,4,$999.00,$999.00,4,$999.00,$999.00,,,,"Maryland 20622
(38.469585674000484, -76.82696764099967)"
2012,,Baltimore,21043,12,$308000.00,$410917.00,12,$308000.00,$410917.00,,,,"Maryland 21043
(39.259559813000465, -76.80313963099968)"
2012,,Dorchester,21634,3,$999.00,$999.00,3,$999.00,$999.00,,,,"Maryland 21634
(38.30521846000045, -76.21706790899964)"
2012,,Wicomico,21830,28,$172450.00,$180917.00,13,$123700.00,$130269.00,15,$190809.00,$224811.00,"Maryland 21830
(38.41285728200046, -75.69561945399965)"
2012,,Wicomico,21856,3,$999.00,$999.00,1,$999.00,$999.00,2,$999.00,$999.00,"Maryland 21856
(38.35090619400046, -75.78733817599965)"
2012,,Allegany,21545,3,$999.00,$999.00,3,$999.00,$999.00,,,,"Maryland 21545
(39.69790569300045, -78.87328708699965)"
2012,,Montgomery,20871,378,$364500.00,$395848.00,347,$363215.00,$385887.00,31,$368500.00,$507351.00,"Maryland 20871
(39.24621630100046, -77.27284776099964)"
2012,,Baltimore City,21226,22,$27000.00,$40701.00,22,$27000.00,$40701.00,,,,"Maryland 21226
(39.20363959200046, -76.56269571699966)"
2012,,Prince George's,20722,49,$113500.00,$130996.00,49,$113500.00,$130996.00,,,,"Maryland 20722
(38.93978913400048, -76.95282941499966)"
2012,,Anne Arundel,20714,15,$284975.00,$363217.00,15,$284975.00,$363217.00,,,,"Maryland 20714
(38.71009910800046, -76.53712970499964)"
2012,,Harford,21028,16,$395000.00,$420681.00,,,,16,$395000.00,$420681.00,"Maryland 21028
(39.56110754000048, -76.24701803199963)"
2012,,Baltimore,21220,326,$170000.00,$214006.00,307,$167000.00,$206055.00,19,$330000.00,$342468.00,"Maryland 21220
(39.33881705900046, -76.41892817499968)"
2012,,Frederick,21718,1,$999.00,$999.00,1,$999.00,$999.00,,,,"Maryland 21718
(39.391639290000455, -77.62783905499964)"
2012,,Baltimore,21237,230,$181000.00,$196069.00,230,$181000.00,$196069.00,,,,"Maryland 21237
(39.34191939200048, -76.49172874199968)"
2012,,Wicomico,21849,22,$141300.00,$158972.00,8,$123500.00,$113750.00,14,$182000.00,$184812.00,"Maryland 21849
(38.38436708000046, -75.47184732599965)"
2012,,Worcester,21804,1,$999.00,$999.00,,,,1,$999.00,$999.00,"Maryland 21804
(38.356146270000465, -75.57117849599967)"
2012,,Dorchester,21672,1,$999.00,$999.00,1,$999.00,$999.00,,,,"Maryland 21672
(38.27464700200045, -76.06015672499967)"
2012,,Dorchester,21677,3,$999.00,$999.00,1,$999.00,$999.00,2,$999.00,$999.00,"Maryland 21677
(38.51541679100046, -76.19120643699966)"
2012,,Frederick,21777,29,$318250.00,$297312.00,29,$318250.00,$297312.00,,,,"Maryland 21777
(39.27939910800046, -77.53004601699968)"
2012,,Prince George's,20708,106,$225000.00,$229317.00,106,$225000.00,$229317.00,,,,"Maryland 20708
(39.06789727600045, -76.84683735199968)"
2012,,Prince George's,20746,112,$145000.00,$140972.00,112,$145000.00,$140972.00,,,,"Maryland 20746
(38.838428846000454, -76.92153668599963)"
2012,,Anne Arundel,21090,99,$258000.00,$273186.00,99,$258000.00,$273186.00,,,,"Maryland 21090
(39.208267023000474, -76.66082766599965)"
2012,,Montgomery,20906,821,$240000.00,$263748.00,818,$240000.00,$262842.00,3,$999.00,$999.00,"Maryland 20906
(39.084086766000496, -77.06338807999964)"
2012,,Baltimore,21162,89,$360000.00,$334725.00,79,$368930.00,$349813.00,10,$232450.00,$215530.00,"Maryland 21162
(39.392656022000494, -76.41561728099964)"
2012,,Talbot,21601,218,$267000.00,$383808.00,182,$235000.00,$276468.00,36,$587500.00,$926467.00,"Maryland 21601
(38.77674714700049, -76.07511657999964)"
2012,,Cecil,21901,139,$250000.00,$261912.00,108,$246617.00,$242224.00,31,$317500.00,$330503.00,"Maryland 21901
(39.599439178000466, -75.95494676199968)"
2012,,Charles,20659,3,$999.00,$999.00,,,,3,$999.00,$999.00,"Maryland 20659
(38.42874696700045, -76.72777985599964)"
2012,,Caroline,21657,1,$999.00,$999.00,,,,1,$999.00,$999.00,"Maryland 21657
(38.95294581000047, -75.97842717199967)"
2012,,St. Mary's,20684,16,$377980.00,$342018.00,,,,16,$377980.00,$342018.00,"Maryland 20684
(38.15548957100049, -76.40737915099965)"
2012,,Allegany,21557,12,$107750.00,$111692.00,10,$105250.00,$103040.00,2,$999.00,$999.00,"Maryland 21557
(39.508559043000446, -78.92371956599965)"
2012,,Calvert,20685,34,$282500.00,$300315.00,14,$232500.00,$239393.00,20,$320000.00,$342960.00,"Maryland 20685
(38.45061972400049, -76.50614981499967)"
2012,,Prince George's,20705,163,$212500.00,$204138.00,161,$210000.00,$203823.00,2,$999.00,$999.00,"Maryland 20705
(39.04740623000049, -76.91870808799968)"
2012,,Carroll,21771,160,$340000.00,$374750.00,113,$295000.00,$348125.00,47,$426250.00,$438762.00,"Maryland 21771
(39.383435920000466, -77.15170900699968)"
2012,,Frederick,20871,2,$999.00,$999.00,,,,2,$999.00,$999.00,"Maryland 20871
(39.24621630100046, -77.27284776099964)"
2012,,Worcester,21842,864,$255000.00,$292557.00,835,$255000.00,$292213.00,29,$244000.00,$302453.00,"Maryland 21842
(38.3911496340005, -75.07017763699963)"
2012,,Montgomery,20842,3,$999.00,$999.00,,,,3,$999.00,$999.00,"Maryland 20842
(39.21968569800049, -77.41074954499965)"
2012,,Montgomery,20882,112,$437500.00,$484037.00,27,$307500.00,$320930.00,85,$519750.00,$535847.00,"Maryland 20882
(39.23578828900048, -77.16379681299964)"
2012,,Baltimore City,21228,4,$999.00,$999.00,4,$999.00,$999.00,,,,"Maryland 21228
(39.27720922600048, -76.73836863399964)"
2012,,Baltimore,21120,76,$400000.00,$376461.00,,,,76,$400000.00,$376461.00,"Maryland 21120
(39.64775998500045, -76.67041709299963)"
2012,,St. Mary's,20621,3,$999.00,$999.00,,,,3,$999.00,$999.00,"Maryland 20621
(38.337849451000466, -76.79286803799965)"
2012,,Prince George's,20716,171,$212715.00,$216575.00,169,$211215.00,$214291.00,2,$999.00,$999.00,"Maryland 20716
(38.93106870800045, -76.72551610799968)"
2012,,Montgomery,20876,225,$277500.00,$297255.00,220,$275000.00,$291315.00,5,$524500.00,$558600.00,"Maryland 20876
(39.19563609300047, -77.24141599099966)"
2012,,Howard,21737,45,$763676.00,$757704.00,,,,45,$763676.00,$757704.00,"Maryland 21737
(39.26126740100045, -77.00409613599965)"
2012,,Charles,20616,86,$256132.00,$261981.00,80,$257490.00,$264230.00,6,$224950.00,$231983.00,"Maryland 20616
(38.63912778800045, -77.07816978999966)"
2012,,Caroline,21636,4,$999.00,$999.00,2,$999.00,$999.00,2,$999.00,$999.00,"Maryland 21636
(39.027349684000455, -75.80154634299964)"
2012,,Howard,21046,163,$295000.00,$316873.00,163,$295000.00,$316873.00,,,,"Maryland 21046
(39.17292909300045, -76.84392619799968)"
2012,,Wicomico,21850,26,$146300.00,$145590.00,19,$144375.00,$140382.00,7,$182950.00,$159729.00,"Maryland 21850
(38.37538595500047, -75.40378715999964)"
2012,,Frederick,21778,2,$999.00,$999.00,1,$999.00,$999.00,1,$999.00,$999.00,"Maryland 21778
(39.62385810900048, -77.33472932899963)"
2012,,Baltimore,21222,449,$115000.00,$127091.00,449,$115000.00,$127091.00,,,,"Maryland 21222
(39.26548640100049, -76.50503749399968)"
2012,,Cecil,21918,38,$298912.00,$292661.00,,,,38,$298912.00,$292661.00,"Maryland 21918
(39.67859648900048, -76.15739794899963)"
2012,,Baltimore,21215,7,$119000.00,$114271.00,7,$119000.00,$114271.00,,,,"Maryland 21215
(39.34604714800048, -76.68329568999962)"
2012,,Washington,21742,207,$209750.00,$230629.00,191,$205000.00,$224379.00,16,$301200.00,$305242.00,"Maryland 21742
(39.657966402000454, -77.68676601899966)"
2012,,Garrett,21521,1,$999.00,$999.00,,,,1,$999.00,$999.00,"Maryland 21521
(39.538948012000446, -79.02249892099968)"
2012,,Frederick,21757,11,$197450.00,$205527.00,3,$999.00,$999.00,8,$225450.00,$213362.00,"Maryland 21757
(39.589076341000464, -77.26024724499968)"
